License ID,Brand Name,Product Type
"85629","#NICEWINE","Wine",
"85629","10SPAN","Wine",
"85629","12 GENERATIONS","Wine",
"85629","12 KNIGHTS","Wine",
"85629","12 WINES OF CHRISTMAS","Wine",
"85629","13 CELSIUS","Wine",
"85629","14 HANDS","Wine",
"85629","1749","Wine",
"85629","181 WINE CELLARS","Wine",
"85629","24 DAYS OF WINE","Wine",
"85629","24 DAYS OF WINE ADVENT","Wine",
"85629","2SONS WINERY","Wine",
"85629","3 BALL","Wine",
"85629","3 BLIND MOOSE","Wine",
"85629","30 DEGREES","Wine",
"85629","30A","Wine",
"85629","337 WINE CELLARS","Wine",
"85629","35 SOUTH","Wine",
"85629","35 SUR","Wine",
"85629","4 FOXES","Wine",
"85629","5 CABERNET SAUVIGNON","Wine",
"85629","5 DRY RED WINES","Wine",
"85629","5 RED WINES","Wine",
"85629","5 SWEET RED WINES","Wine",
"85629","50 ESTATE RANCH","Wine",
"85629","50°","Wine",
"85629","6 DAYS OF WINE HOLIDAY WINE BOX","Wine",
"85629","6 O'CLOCK","Low Alcohol Beverage",
"85629","60 SOULS","Wine",
"85629","7 DEADLY","Wine",
"85629","7 DEADLY ZINS","Wine",
"85629","7 HEAVENLY CHARDS","Wine",
"85629","7 MOONS","Wine",
"85629","719 W","Wine",
"85629","75 WINE COMPANY","Wine",
"85629","A ET P DE VILLAINE","Wine",
"85629","A GIFT FROM HOME","Wine",
"85629","A LITTLE MERRIER THIS YEAR","Wine",
"85629","A NIGHT TO REMEMBER","Wine",
"85629","A PROPER CLARET","Wine",
"85629","A ROYAL TWIST","Wine",
"85629","A SEAWORTHY TALE","Wine",
"85629","A TO Z","Wine",
"85629","ABANDON","Wine",
"85629","ABELE 1757","Wine",
"85629","ABRUPT VINEYARDS","Wine",
"85629","ABSTRACT ART","Wine",
"85629","ACAB","Wine",
"85629","ACCADEMIA","Wine",
"85629","ACES HIGH","Wine",
"85629","ACHAIA CLAUSS","Wine",
"85629","ACHAVAL FERRER","Wine",
"85629","ACORDEON","Wine",
"85629","ACOUSTIC HARMONY","Wine",
"85629","ACQUESI","Wine",
"85629","ACRE & VINE","Wine",
"85629","ACROBAT","Wine",
"85629","ACTUM","Wine",
"85629","ACUARELLO","Wine",
"85629","ADAMS BROTHERS","Wine",
"85629","ADEGA COOP PONTE DA BARCA","Wine",
"85629","ADEREZO","Wine",
"85629","ADOBE CANYON","Wine",
"85629","ADORED","Wine",
"85629","ADORO","Wine",
"85629","ADRIANO RAMOS PINTO","Wine",
"85629","ADUENTUS","Wine",
"85629","ADUNA","Wine",
"85629","AEGERTER","Wine",
"85629","AGOSTINO BRUGO","Wine",
"85629","AGRICOLA LA BOLLINA","Wine",
"85629","AGRICOLA PUNICA","Wine",
"85629","AGRICOLA QUERCIABELLA","Wine",
"85629","AIA DELLA MACINA","Wine",
"85629","AILA","Wine",
"85629","AIR LIFT","Wine",
"85629","AIRES DE AROSA","Wine",
"85629","AIX","Wine",
"85629","ALAIN COCHE BIZOUARD","Wine",
"85629","ALAIN PARET","Wine",
"85629","ALARIS","Wine",
"85629","ALAURA","Wine",
"85629","ALBERT LEBRUN","Wine",
"85629","ALBERT PIC & FILS","Wine",
"85629","ALBERTO CONTI","Wine",
"85629","ALBINEA CANALI","Wine",
"85629","ALBINO ARMANI","Wine",
"85629","ALBIS","Wine",
"85629","ALCANCE","Wine",
"85629","ALCANZA","Wine",
"85629","ALDINO","Wine",
"85629","ALDO MARENCO & FIGLIO","Wine",
"85629","ALESSI","Wine",
"85629","ALEX ELMAN","Wine",
"85629","ALEXIS GEORGE","Wine",
"85629","ALFRED GRATIEN","Wine",
"85629","ALI SOPRA","Wine",
"85629","ALICE WHITE","Wine",
"85629","ALLA FAMIGLIA","Wine",
"85629","ALLENDE","Wine",
"85629","ALLISON COMBS","Wine",
"85629","ALLURE","Wine",
"85629","ALMADEN","Wine",
"85629","ALMIRA","Wine",
"85629","ALPACA","Wine",
"85629","ALQUIER","Wine",
"85629","ALTA LUNA","Wine",
"85629","ALTA MORA","Wine",
"85629","ALTA VIA","Wine",
"85629","ALTA VISTA","Wine",
"85629","ALTA VITA","Wine",
"85629","ALTAMANA","Wine",
"85629","ALTANUTA","Wine",
"85629","ALTEMASI","Wine",
