License ID,Brand Name,Product Type
"13182275","BARTLES & JAYMES","Malt Beverage",
"13182275","BLOCK PARTY","Malt Beverage",
"13182275","BREAKFAST SELTZER","Malt Beverage",
"13182275","COVISTA","Malt Beverage",
"13182275","FESTLICH HAUS","Malt Beverage",
"13182275","FOLDED MOUNTAINS","Malt Beverage",
"13182275","GREAT AMERICA","Malt Beverage",
"13182275","HARD ROCK","Low Alcohol Beverage",
"13182275","HARD ROCK","Malt Beverage",
"13182275","HOLLAND","Malt Beverage",
"13182275","INDEPENDENCE HARBOR","Malt Beverage",
"13182275","JACK DANIEL'S","Malt Beverage",
"13182275","LOCKEN'S","Malt Beverage",
"13182275","MONTERREY","Malt Beverage",
"13182275","PRESS","Malt Beverage",
"13182275","STEWART'S","Malt Beverage",
"13182275","VERDI","Malt Beverage",
"13182275","WERNESGRUNER","Malt Beverage",
"13182275","WHITE TIDE","Malt Beverage",
"13182275","WILD RANGE","Malt Beverage",
