License ID,Brand Name,Product Type
"90039","AVIVO","Wine",
"90039","AZIENDA AGRICOLA FRATELLI RECCHIA","Wine",
"90039","AZIENDA AGRICOLA LOSI","Wine",
"90039","AZIENDA AGRICOLA REVA S.S.","Wine",
"90039","AZINHAGA","Wine",
"90039","AZZARO","Wine",
"90039","Azienda Agricola Simone Capecci","Wine",
"90039","B LIV","Wine",
"90039","B SIDE","Wine",
"90039","BACARDI","Low Alcohol Beverage",
"90039","BACHER","Wine",
"90039","BACKHOUSE","Wine",
"90039","BACKPACK WINE","Wine",
"90039","BACON","Wine",
"90039","BAD JUANITA'S","Low Alcohol Beverage",
"90039","BALKAN CREST","Wine",
"90039","BALLATORE","Wine",
"90039","BALTHASAR RESS","Wine",
"90039","BANDIERA","Wine",
"90039","BANDON","Wine",
"90039","BANROCK STATION","Wine",
"90039","BARBED WIRE","Wine",
"90039","BAREFOOT","Wine",
"90039","BAREFOOT BUBBLY","Wine",
"90039","BAREFOOT CELLARS","Wine",
"90039","BAREFOOT HARD SELTZER","Wine",
"90039","BAREFOOT MOSCATO","Wine",
"90039","BAREFOOT REFRESH","Wine",
"90039","BAREFOOT SPRITZER","Wine",
"90039","BAREFOOT WINE HARD SELTZER","Wine",
"90039","BARKAN","Wine",
"90039","BARNWOOD","Wine",
"90039","BARON AMARILLO","Wine",
"90039","BARON DE ESCAL","Wine",
"90039","BARON DE LEY","Wine",
"90039","BARON HERZOG","Wine",
"90039","BARONCINI","Wine",
"90039","BARONE FINI","Wine",
"90039","BARONS EDMOND ET BENJAMIN DE ROTHSCHILD","Wine",
"90039","BAROSSA JACK","Wine",
"90039","BAROSSA VALLEY ESTATE","Wine",
"90039","BARRE FRERES","Wine",
"90039","BARREL AXE","Wine",
"90039","BARREL BOX","Wine",
"90039","BARRINGTON ESTATE","Wine",
"90039","BARTENURA","Wine",
"90039","BARTLES & JAYMES","Wine",
"90039","BARTON & GUESTIER","Wine",
"90039","BATCH NO 198","Wine",
"90039","BATITU","Wine",
"90039","BATURRICA","Wine",
"90039","BAZELET HA GOLAN","Wine",
"90039","BE HUMAN","Wine",
"90039","BE.","Wine",
"90039","BEACH COLADA","Wine",
"90039","BEACH DAI Q RI","Wine",
"90039","BEAR BROS","Wine",
"90039","BEAR FLAG","Wine",
"90039","BEAU JARDIN","Wine",
"90039","BEAULIEU VINEYARD","Wine",
"90039","BEAUTIFUL DRINKS CO","Low Alcohol Beverage",
"90039","BECHTHEIMER PILGERPFAD","Wine",
"90039","BEE'S KNEES","Wine",
"90039","BEER BROS","Wine",
"90039","BEL A CIAO","Wine",
"90039","BEL ARBOR VINEYARDS","Wine",
"90039","BEL ROSE","Wine",
"90039","BELCREME DE LYS","Wine",
"90039","BELFORD SPRINGS","Wine",
"90039","BELLA BOLLE","Wine",
"90039","BELLA CONCHI","Wine",
"90039","BELLA ELLA","Wine",
"90039","BELLA ROSA","Wine",
"90039","BELLA SERA","Wine",
"90039","BELLA SERA FRESCATA","Wine",
"90039","BELLACOSA","Wine",
"90039","BELLANOVA","Wine",
"90039","BELLE BROOK","Wine",
"90039","BELLE DE PROVENCE","Wine",
"90039","BELLE ISLE CRAFT SPIRITS","Low Alcohol Beverage",
"90039","BELLETTI","Wine",
"90039","BELLITALIA","Wine",
"90039","BELLUCCINI","Wine",
"90039","BELMONTI","Wine",
"90039","BELPOSTO","Wine",
"90039","BELVEDERE","Wine",
"90039","BENEDETTO","Wine",
"90039","BENI DI BATASIOLO","Wine",
"90039","BENJAMIN","Wine",
"90039","BENNETT FAMILY","Wine",
"90039","BENSON FERRY VINEYARDS","Wine",
"90039","BERGERON ESTATE","Wine",
"90039","BERINGER","Wine",
"90039","BERINGER BROS","Wine",
"90039","BERINGER FOUNDERS' ESTATE","Wine",
"90039","BERINGER THIRD CENTURY","Wine",
"90039","BERNADOR","Wine",
"90039","BERONIA","Wine",
"90039","BERTANI","Wine",
"90039","BERTRAND DELESPIERRE","Wine",
"90039","BERTRAND SENECOURT","Wine",
"90039","BETTY BOOZE","Low Alcohol Beverage",
"90039","BEV","Wine",
"90039","BEVIAMO","Wine",
"90039","BEX","Wine",
"90039","BIANCO","Wine",
"90039","BIASINI","Wine",
"90039","BICHAT","Wine",
"90039","BIG ASS CAB WINERY","Wine",
"90039","BIG ASS CHARD WINERY","Wine",
"90039","BIG ASS ZIN WINERY","Wine",
"90039","BIG MAMMA'S","Wine",
"90039","BIG RIVER","Wine",
"90039","BIG SMOOTH","Wine",
"90039","BIG YELLOW CAB","Wine",
"90039","BIGODE","Wine",
"90039","BILLETTE","Wine",
"90039","BILLY'S SHADOW","Wine",
"90039","BINDER MITCHELL","Wine",
"90039","BINYAMINA","Wine",
"90039","BIRD IN HAND","Wine",
"90039","BIRDS EYE","Wine",
"90039","BIRTHDAY CAKE","Wine",
"90039","BISHOP RIDGE","Wine",
"90039","BISQUERTT VINEYARDS","Wine",
"90039","BISSINGER & CO","Wine",
"90039","BISTRO","Wine",
"90039","BLACK ELK","Wine",
"90039","BLACK FOREST GIRL","Wine",
"90039","BLACK INK","Wine",
"90039","BLACK MARLIN","Wine",
"90039","BLACK POINT","Wine",
"90039","BLACK ROCK","Wine",
"90039","BLACK SILK","Wine",
"90039","BLACK SWAN","Wine",
"90039","BLACKLETTER","Wine",
"90039","BLACKRIDGE CANYON","Wine",
"90039","BLASON D'ISSAN","Wine",
"90039","BLASS","Wine",
"90039","BLAZIN HOT","Wine",
"90039","BLAZON","Wine",
"90039","BLISSFUL BIRD","Wine",
"90039","BLOOM","Wine",
"90039","BLOSSOM HILL COLLECTION","Wine",
"90039","BLOSSOM HILL WINERY","Wine",
"90039","BLUE JEAN","Wine",
"90039","BLUE PIRATE","Wine",
"90039","BLUE REEF","Wine",
"90039","BODEGA ELENA DE MENDOZA","Wine",
"90039","BODEGA LANZAGA","Wine",
"90039","BODEGA Y VINEDOS MAURICIO LORCA","Wine",
"90039","BODEGAS BILBAINAS","Wine",
"90039","BODEGAS BORDEJE","Wine",
"90039","BODEGAS COOPERATIVA JESUS NAZARENO","Wine",
"90039","BODEGAS ELOSEGI","Wine",
"90039","BODEGAS FONTANA","Wine",
"90039","BODEGAS HISPANO SUIZAS","Wine",
"90039","BODEGAS LA PURISIMA","Wine",
"90039","BODEGAS PENASCAL","Wine",
"90039","BODEGAS SIERRA DE GUARA","Wine",
"90039","BODINI","Wine",
"90039","BOHEMIAN HIGHWAY","Wine",
"90039","BOISSIERE","Wine",
"90039","BOMBAY SAPPHIRE","Low Alcohol Beverage",
"90039","BON AMI","Wine",
"90039","BON CAP","Wine",
"90039","BONAVAL","Wine",
"90039","BONIZIO","Wine",
"90039","BONNEAU DU MARTRAY","Wine",
"90039","BONTERRA","Wine",
"90039","BOOMBERRY WINERY","Wine",
"90039","BOONE'S","Wine",
"90039","BOONE'S FARM","Wine",
"90039","BOORDY VINEYARDS","Wine",
"90039","BOOT TREAD","Malt Beverage",
"90039","BOREALIS VINTNERS","Wine",
"90039","BORELLI","Wine",
"90039","BORGIANNI","Wine",
"90039","BOSIO","Wine",
"90039","BOTIELLA","Low Alcohol Beverage",
"90039","BOUCHAINE","Wine",
"90039","BOUCHARD AINE & FILS","Wine",
"90039","BOUCHARD FINLAYSON","Wine",
"90039","BOULDER OPAL","Wine",
"90039","BOUND + DETERMINED","Wine",
"90039","BOUTIQUE","Wine",
"90039","BOXI","Wine",
"90039","BOXING ROO","Wine",
"90039","BOYA","Wine",
"90039","BRADFORD MOUNTAIN","Wine",
"90039","BRANCAIA","Wine",
"90039","BRANCOTT ESTATE","Wine",
"90039","BRANDAL","Wine",
"90039","BRAVINO","Wine",
"90039","BRAZILIAN SOUL","Wine",
"90039","BREE","Wine",
"90039","BREMMER CREEK WINES","Wine",
"90039","BRIDLEWOOD ESTATE WINERY","Wine",
"90039","BRIGHTLANDS","Wine",
"90039","BROADBENT","Wine",
"90039","BROADLAND WINERIES","Wine",
"90039","BROADSIDE","Wine",
"90039","BROKE ASS","Wine",
"90039","BROKEN CLOUDS","Wine",
"90039","BROKEN EARTH","Wine",
"90039","BROOK HOLLOW","Wine",
"90039","BROOKLAND VALLEY","Wine",
"90039","BROQUEL","Wine",
"90039","BROWN BROTHERS","Wine",
"90039","BRUMBY","Wine",
"90039","BRUN ESTATE","Wine",
"90039","BRUNO COLIN","Wine",
"90039","BRUNO HUNOLD","Wine",
"90039","BRUSCO DEI BARBI","Wine",
"90039","BRUSSET HOMMAGE ANDRE","Wine",
"90039","BTP","Wine",
"90039","BUBO","Wine",
"90039","BUCK SHACK","Wine",
"90039","BUFFALO HEAD","Wine",
"90039","BUMBLE & BLOOM","Wine",
"90039","BURG SCHONECK","Wine",
"90039","BURIED CANE","Wine",
"90039","BURLWOOD CELLARS","Wine",
"90039","BURMESTER","Wine",
"90039","BUSHIDO","Wine",
"90039","BUTTERCUP","Wine",
"90039","BUTTERFLY KISS","Wine",
"90039","BUZZBALLZ CHILLERS","Wine",
"90039","BV COASTAL ESTATES","Wine",
"90039","Bodega Zafado","Wine",
"90039","CA DEL TEO","Wine",
"90039","CA DONINI","Wine",
"90039","CA' DEL LAGO","Wine",
"90039","CA' MOMI","Wine",
"90039","CA'BIANCA","Wine",
"90039","CA'VESTA","Wine",
"90039","CA.SA SACCHETTO","Wine",
"90039","CABECA DE TOIRO","Wine",
"90039","CABREO","Wine",
"90039","CACHETTE","Wine",
"90039","CADARETTA","Wine",
"90039","CAGED","Wine",
"90039","CALADELVERDE","Wine",
"90039","CALI COCKTAILS","Wine",
"90039","CALIBRATE","Wine",
"90039","CALIFORNIA DREAM","Wine",
"90039","CALIFORNIA HERITAGE","Wine",
"90039","CALIFORNIA RABBIT","Wine",
"90039","CALIFORNIA TRADITIONS","Wine",
"90039","CALIFRESCA","Wine",
"90039","CALLAWAY CELLAR SELECTION","Wine",
"90039","CALNATURALE","Wine",
"90039","CALVANO","Wine",
"90039","CALZO","Wine",
"90039","CAMBALALA","Wine",
"90039","CAMILLE MEYER","Wine",
"90039","CAMILO CASTILLA","Wine",
"90039","CAMINO DEL PEREGRINO","Wine",
"90039","CAMINO SP","Wine",
"90039","CAMPANILE","Wine",
"90039","CAMPO AL MARE","Wine",
"90039","CAMPO ALEGRE","Wine",
"90039","CAMPO BARGELLO","Wine",
"90039","CAMPO ELISEO","Wine",
"90039","CANARD DUCHENE","Wine",
