License ID,Brand Name,Product Type
"90042","1758","Malt Beverage",
"90042","ABBAYE DE VAUCLAIR","Malt Beverage",
"90042","BIG BROTHER","Malt Beverage",
"90042","BRASSERIE GOUDALE","Malt Beverage",
"90042","BRENS","Malt Beverage",
"90042","BROEGEL","Malt Beverage",
"90042","BRONZEN SCHILD","Malt Beverage",
"90042","CENTRAL VIRGINIA BREWING","Malt Beverage",
"90042","CIELO ESPECIAL","Malt Beverage",
"90042","COVISTA","Malt Beverage",
"90042","CRAFT EXPLORERS","Malt Beverage",
"90042","CZECH","Malt Beverage",
"90042","DEADLY BREWING","Malt Beverage",
"90042","ESSENTIAL HOPS BREWING","Malt Beverage",
"90042","FESTLICH HAUS","Malt Beverage",
"90042","FIELDCRAFT","Malt Beverage",
"90042","FOLDED MOUNTAINS","Malt Beverage",
"90042","GALEREUX","Malt Beverage",
"90042","HARD ROCK","Malt Beverage",
"90042","HOLLAND","Malt Beverage",
"90042","INDEPENDENCE HARBOR","Malt Beverage",
"90042","JACK DANIEL'S","Malt Beverage",
"90042","KINKY BEVERAGE COMPANY","Malt Beverage",
"90042","KRISTOFFEL","Malt Beverage",
"90042","LICHER","Malt Beverage",
"90042","LOCKEN'S","Malt Beverage",
"90042","MASQ FUSIONS","Malt Beverage",
"90042","MONROE BREWING COMPANY","Malt Beverage",
"90042","O'SHEA'S","Malt Beverage",
"90042","PERLENBACHER","Malt Beverage",
"90042","PERLINBACHER","Malt Beverage",
"90042","PITHEAD BREWING CO","Malt Beverage",
"90042","PRESS","Malt Beverage",
"90042","PRESTIGE BEER GROUP","Malt Beverage",
"90042","SAINT ALENA","Malt Beverage",
"90042","SEZOENS","Malt Beverage",
"90042","STATE OF BREWING","Malt Beverage",
"90042","STEWART'S","Malt Beverage",
"90042","TEABIRD","Malt Beverage",
"90042","THE CRAFTY BREWING COMPANY","Malt Beverage",
"90042","TUMWATER","Malt Beverage",
"90042","VAN DANKEN","Malt Beverage",
"90042","VERDI","Malt Beverage",
"90042","VISTA BAY","Malt Beverage",
"90042","WEICO","Malt Beverage",
"90042","WHITE TIDE","Malt Beverage",
"90042","WILD RANGE","Malt Beverage",
"90042","ZARITA","Malt Beverage",
