License ID,Trade Name,Address,City,State,Zip Code,Report Type
X12710,Booker Vineyard,2640 Anderson Road,Paso Robles,CA,93446,Unlicensed Supplier
X11117,Borra Winery,1301 E Armstrong Road,Lodi,CA,95242,Unlicensed Supplier
X15154,Both Barrels Wine Co,3238 Old Heather Lane,San Diego,CA,98121,Unlicensed Supplier
B00662,Bottle Logic Brewing,1072 N Armando St.,Anaheim,CA,92806,Unlicensed Supplier
X01122,Bouchaine,1075 Buchli Station Road,Napa,CA,94558,Unlicensed Supplier
X03491,Bourassa Vineyards,4105 Chiles Pope Valley Road,St Helena,CA,94574,Unlicensed Supplier
X14302,Bozzano and Company,1331 Carmel Street,San Luis Obispo,CA,93401,Unlicensed Supplier
X14785,Brand Napa Valley,99 Long Ranch Road,Saint Helena,CA,94574,Unlicensed Supplier
X01179,Brand Partners LLC,9194 Lockwood Drive,Widsor,CA,95492,Unlicensed Supplier
X01768,Brander Vineyard,2401 Refugio Road,Los Olivos,CA,93441,Unlicensed Supplier
X01581,Braren Pauli Winery,1613 Spring Hill Road,Petaluma,CA,94952,Unlicensed Supplier
X11646,Brassfield Estate Winery,10915 High Valley Road,Clearlake Oaks,CA,95423,Unlicensed Supplier
X13071,Breakaway Wine Co,PO Box 5246,Napa,CA,94581,Unlicensed Supplier
X13689,Breathless Wines,14100 Mountain House Road,Hopland,CA,95449,Unlicensed Supplier
X12834,Breggo Cellars,1473 Yountville Cross Road,Yountville,CA,94599,Unlicensed Supplier
X11698,Brewer Clifton,329 North F Street,Lampoc,CA,93436,Unlicensed Supplier
X03566,Briarcliff Wine Group,2100 Jackson Street,San Francisco,CA,94115,Unlicensed Supplier
X16795,Brick and Mortar,P O Box 1508,Healdsburg,CA,95448,Unlicensed Supplier
X12654,Bridesmaid Wines,700 Dowdell Lane,St Helena,CA,94573,Unlicensed Supplier
X12660,Bridesmaid Wines,P O Box 987,St Helena,CA,94574,Unlicensed Supplier
X03310,Bridgeway Cellars,3030 Bridgeway Suite 219,Sausalito,CA,94965,Unlicensed Supplier
X10938,Briggs & Sons Winemaking Co,333 Silverado Trail,Calistoga,CA,94515,Unlicensed Supplier
X01085,Broadbent Selections,2088 UNION STREET #2,San Francisco,CA,94123,Unlicensed Supplier
X12118,Broadside Wines,3855 High Grove Road,Templeton,CA,93465,Unlicensed Supplier
X12116,Broc Cellars,805 Camelia Street,Berkley,CA,84710,Unlicensed Supplier
X12158,Broc Cellars,845 Sutter St Apt 209,San Francisco,CA,94109,Unlicensed Supplier
X00141,Brochelle Vineyards,P O Box 3014,Paso Robles,CA,93447-3014,Unlicensed Supplier
X13004,Broken Earth Winery,6305 Buena Vista Dr,Paso Robles,CA,93446,Unlicensed Supplier
X03664,Broman Cellars,945 Deer Park Road,St Helena,CA,94574,Unlicensed Supplier
X02315,Brophy Cleak Cellars,P O Box 955,Nipomo,CA,93444,Unlicensed Supplier
X02712,Brown Estate Vineyards,3233 Sage Canyon Road,St Helena,CA,94574,Unlicensed Supplier
X02428,Brutocao Cellars,1400 Highway 175,Hopland,CA,95449,Unlicensed Supplier
X02427,Bryan Wine Imports,P O Box 1088,Geyersvile,CA,95441,Unlicensed Supplier
X11980,Buccella,P O Box 3838,Yountville,CA,94599,Unlicensed Supplier
X10538,Bucklin,8 Old Hill Ranch Road,Glen Ellen,CA,95442,Unlicensed Supplier
X11509,Budge Brown Family Winery,4900 Bartlett Springs Road,Nice,CA,94515,Unlicensed Supplier
B00294,Buffalo Bill's Brewery,1082 B Street,Hayward,CA,94541,Unlicensed Supplier
X12799,Bugay Wines,1160 B Hopper Avenue,Santa Rosa,CA,95403,Unlicensed Supplier
X02229,Bulgarian Master Vintners,1262 Broadway,Sonoma,CA,95476,Unlicensed Supplier
X10675,Buoncristiani,P O Box 6946,Napa,CA,94581,Unlicensed Supplier
X00011,Burgess Cellars Inc,1108 Delr Park Road,St Helena,CA,94574,Unlicensed Supplier
X10663,Burrell School Vineyards & Winery,24060 Summit Road,Los Gatos,CA,95033,Unlicensed Supplier
X02769,Burrton Wine Company,P O Box 969,St Helena,CA,94574,Unlicensed Supplier
B00119,Butte Creek Brewing Company,945 W 2nd Street,Chico,CA,95928,Unlicensed Supplier
X00256,Buttonwood Farm,1500 Alamo Pintado Road,Solvang,CA,93463,Unlicensed Supplier
X15310,Bydand Wines LLC,1516 Harley St / PO Box 55,Calistoga,CA,94515,Unlicensed Supplier
X01427,Byington Winery/Vineyard,21850 Bear Creek Road,Los Gatos,CA,95030,Unlicensed Supplier
X12212,C Donatiello Winery,4035 Westside Road,Healdsburg,CA,95448,Unlicensed Supplier
X17063,C MONDAVI AND FAMILY,2800 MAIN ST,ST HELENA,CA,94574,Unlicensed Supplier
X00567,C Mondavi & Sons,P O Box 191,St Helena,CA,94574,Unlicensed Supplier
X13135,C S Cellars,DDC Shipping,Napa,CA,94558,Unlicensed Supplier
X02714,C/O Grosskopf Warehouse,20580 8th Street E,Sonoma,CA,95476,Unlicensed Supplier
X15604,C2 Cellars,9050 San Antonio Rd,Orcutt,CA,93455,Unlicensed Supplier
B00359,C2 Imports LLC,1663 Aldercreek,Westlake Village,CA,91362,Unlicensed Supplier
X16832,CADRE WINES,2195 CORBETT CANYON ROAD,ARROYO GRANDE,CA,93420,Unlicensed Supplier
X17128,COBB WINES,18100 Fitzpatrick LN,Occidental,CA,95465,Unlicensed Supplier
X14753,COMPLIANCE CONNECTION INC,PO BOX 3699,SANTA ROSA,CA,95402,Unlicensed Supplier
X15024,CORRELATION WINE CO,4028 SPRING MOUNTAIN RD,ST HELENA,CA,94574,Unlicensed Supplier
X14826,CULTIVATE WINE,5 FINANCIAL PLAZA SUITE 224,NAPA,CA,94558,Unlicensed Supplier
X10805,CWT,930 McLaughin Avenue,San Jose,CA,95122,Unlicensed Supplier
X13506,Ca'Momi,2515 Napa Valley Corporate Drive,Napa,CA,94558,Unlicensed Supplier
X12588,Ca'Momi Wines,2515 Napa Valley Corporate Drive,Napa,CA,94558,Unlicensed Supplier
X17249,Cabana Winery,710 S Beckham Rd,Lodi,CA,95240,Unlicensed Supplier
X02354,Cabernet Corporation,285 K Bell Marin Keys Blvd,Novato,CA,94949,Unlicensed Supplier
X10535,Cable Winery,270 Aviador,Camarillo,CA,93010,Unlicensed Supplier
X01240,Cache Cellars,Rt 2 Box 2780,Davis,CA,95616,Unlicensed Supplier
X01382,Cafaro Cellars,1550 Allyn Avenue,St Helena,CA,94574,Unlicensed Supplier
